Rank,Company Name,Revenue,% Change,Net Operating Income,% Change,Profit,% Change,Assets,% Change,Net Worth,% Change,Equity Dividend,% Change,Employee Cost,% Change
111,Neyveli Lignite Corporation,"12,300.73",40.68,"11,128.04",41.72,"2,447.00","2,759.65","28,721.61",13.07,"12,198.63",-20.43,"1,121.97",,"2,514.45",6.18
112,Standard Chartered Bank,"12,267.83",2.12,"9,610.33",-4.08,"2,440.43",142.47,"1,18,785.24",7.65,"25,810.64",7.04,0,,"1,461.62",5.78
113,Shree Renuka Sugars,"12,198.10",22.8,"11,844.50",20.23,"-1,039.70",0,"3,823.10",1.52,0,0,0,,210.5,2.68
114,Indiabulls Housing Finance,"11,701.74",26.84,"11,639.64",26.23,"2,906.39",23.95,"98,367.73",35.47,"11,869.32",10.99,"1,142.12",,499.66,20.94
115,Exide Industries,"11,649.95",24.49,"11,223.55",17.7,801.05,14.86,"15,187.52",16.61,"5,032.13",14.63,136,,867.7,3.53
116,United Bank of India,"11,614.53",1.84,"9,427.91",-5.12,219.51,0,"1,37,234.82",9.23,"6,842.78",26.85,0,,"1,624.18",-23.89
117,Oil India,"11,559.86",3.14,"9,566.36",-2.59,"1,596.56",-23.23,"44,630.53",25.48,"29,519.36",17.24,761.44,,"2,087.26",8.29
118,Dewan Housing Finance Corporation,"11,471.09",46.32,"11,465.35",46.34,"2,806.30",274.52,"89,955.00",34.2,"7,730.60",43.43,31.3,,391.68,20.17
119,Dena Bank,"11,433.07",0.62,"10,181.67",-4.36,-863.62,0,"1,26,688.80",-3.18,"6,586.67",6.03,0,,"1,484.08",2.48
120,ACC,"11,257.76",-5.53,"11,167.55",-5.34,604.38,2.86,"8,776.00",2.72,"8,641.52",2.62,319.24,,789.86,2.29
121,Bosch,"11,172.30",9.29,"10,435.20",7.56,"1,740.20",13.47,"9,160.80",-8.02,"8,790.60",-7.73,0,,"1,342.80",3.05
122,HSBC,"11,064.78",7.34,"8,791.84",3.7,"2,391.28",23.64,"1,15,371.02",-8.67,"19,934.04",10.37,0,,"1,171.27",5.93
123,Shriram Transport Finance,"10,904.47",5.24,"10,902.79",5.25,"1,265.63",6.93,"69,616.11",8.82,"11,331.94",11.37,90.75,,583.2,-6.5
124,Reliance Power,"10,891.68",2.54,"10,395.65",0.94,"1,104.16",23.31,"56,477.48",0.57,"21,367.58",5.64,0,,182.65,3.94
125,IDFC,"10,467.72",16.69,"10,465.88",16.7,699.08,0,"1,11,634.73",33.71,"10,819.86",7.04,0,,794.2,24.09
126,Videocon Industries,"10,262.88",-4.6,"9,863.52",-4.34,"-1,532.54",0,"46,548.97",-9.37,0,0,0,,300.57,-1.87
127,Torrent Power,"10,219.63",-14.87,"10,024.45",-14.54,428.95,-52.35,"17,527.56",3.98,"6,892.09",6.52,0,,567.51,8.9
128,GMR Infrastructure,"10,172.53",16.98,"9,768.63",18.25,-574.59,0,"31,762.32",-34.93,"5,647.49",13.16,0,,544.89,7.59
129,NHPC,"10,150.86",6.51,"8,623.13",3.22,"2,310.63",12.67,"54,923.17",-5.23,"29,014.82",-8.3,0,,"1,932.70",20.48
130,Bajaj Finance,"10,006.53",36.45,"9,984.38",36.8,"1,836.38",43.62,"59,696.88",32.24,"9,600.26",29.27,0,,931.67,47.97
131,Hindustan Construction Company,"9,867.94",12.55,"9,866.78",15.53,-758.02,0,"9,383.60",-3.7,-374.27,0,0,,988.71,2.37
